,date,open,high,close,low,volume,amount,code,diff20,rate,rps20
0,2018-10-23 00:00:00.000000,4.34,4.41,4.32,4.28,2101728.0,9114162.0,603999,-0.8599999999999994,-0.24855491329479745,27.0
1,2018-10-22 00:00:00.000000,4.18,4.41,4.35,4.15,2494499.0,10754846.0,603999,-0.9500000000000002,-0.27941176470588247,24.0
2,2018-10-19 00:00:00.000000,4.06,4.18,4.16,3.94,2003926.0,8167391.0,603999,-1.2800000000000002,-0.44444444444444453,6.0
3,2018-10-18 00:00:00.000000,4.22,4.23,4.09,4.09,1131368.0,4668671.0,603999,-1.2999999999999998,-0.4659498207885304,4.0
4,2018-10-17 00:00:00.000000,4.17,4.22,4.22,4.12,1306216.0,5463564.0,603999,-1.1400000000000006,-0.3701298701298704,13.0
5,2018-10-16 00:00:00.000000,4.18,4.21,4.13,4.1,1423980.0,5921771.0,603999,-1.2400000000000002,-0.4290657439446368,9.0
6,2018-10-15 00:00:00.000000,4.22,4.32,4.13,4.13,1629881.0,6915689.0,603999,-1.4500000000000002,-0.5410447761194032,3.0
7,2018-10-12 00:00:00.000000,4.45,4.45,4.26,4.07,2256380.0,9604386.0,603999,-1.2800000000000002,-0.42953020134228204,8.0
8,2018-10-11 00:00:00.000000,4.75,4.76,4.44,4.44,3047767.0,13867452.0,603999,-1.1099999999999994,-0.3333333333333331,18.0
9,2018-10-10 00:00:00.000000,4.94,4.96,4.93,4.89,884145.0,4361106.0,603999,-0.7200000000000006,-0.1710213776722092,30.0
10,2018-10-09 00:00:00.000000,4.92,4.97,4.94,4.9,912900.0,4499218.0,603999,-0.6399999999999997,-0.1488372093023255,34.0
11,2018-10-08 00:00:00.000000,5.08,5.08,4.9,4.89,1685833.0,8391052.0,603999,-0.71,-0.16945107398568016,31.0
12,2018-09-28 00:00:00.000000,5.09,5.14,5.11,5.09,1094269.0,5601584.0,603999,-0.5599999999999996,-0.12307692307692297,35.0
13,2018-09-27 00:00:00.000000,5.21,5.21,5.08,5.07,1954822.0,10026543.0,603999,-0.71,-0.16247139588100684,33.0
14,2018-09-26 00:00:00.000000,5.21,5.25,5.21,5.18,1177514.0,6137847.0,603999,-0.5700000000000003,-0.12284482758620696,36.0
